Date,divy
2019-12-09,4.73
2019-12-10,4.73
2019-12-11,4.71
2019-12-12,4.66
2019-12-13,4.63
2019-12-16,4.58
2019-12-17,4.59
2019-12-18,4.61
2019-12-19,4.61
2019-12-20,4.57
2019-12-23,4.6
2019-12-24,4.6
2019-12-25,4.6
2019-12-26,4.61
2019-12-27,4.6
2019-12-30,4.62
2019-12-31,4.65
2020-01-01,4.85
2020-01-02,4.78
2020-01-03,4.82
2020-01-06,4.83
2020-01-07,4.87
2020-01-08,4.87
2020-01-09,4.84
2020-01-10,4.86
2020-01-13,4.88
2020-01-14,4.88
2020-01-15,4.89
2020-01-16,4.85
2020-01-17,4.8100000000000005
2020-01-20,4.8100000000000005
2020-01-21,4.83
2020-01-22,4.86
2020-01-23,4.89
2020-01-24,4.88
2020-01-27,4.95
2020-01-28,4.89
2020-01-29,4.88
2020-01-30,4.91
2020-01-31,4.97
2020-02-03,4.97
2020-02-04,4.9
2020-02-05,4.8100000000000005
2020-02-06,4.77
2020-02-07,4.77
2020-02-10,4.75
2020-02-11,4.72
2020-02-12,4.6899999999999995
2020-02-13,4.6899999999999995
2020-02-14,4.68
2020-02-17,4.64
2020-02-18,4.64
2020-02-19,4.63
2020-02-20,4.6899999999999995
2020-02-21,4.72
